"content","username","tweet_published_at","type"
"Ternyata tak butuh waktu lama bagi promotor untuk mendatangkan Coldplay ke Indonesia. #kumparanHITS #newsupdate https://t.co/lHnhch0a5v","kumparan","2023-05-10 17:14:35+07","tweet"
"uang bisa dicari, tapi coldplay ke indonesia hanya sekali.","RMaharandika","2023-05-09 22:43:36+07","tweet"
"uang bisa dicari, tapi Coldplay ke Indonesia cuma sekali","helm_astronaut","2023-05-09 22:38:42+07","tweet"
"uang bisa dicari, tapi coldplay ke indonesia hanya sekali","ofcourseyesss","2023-05-09 22:37:15+07","tweet"
"Uang bisa dicari, coldplay ke indonesia cuma sekali
Info gadai ginjal 😂 https://t.co/8wSpUtcZPJ","Alviandi87","2023-05-09 22:29:22+07","tweet"
"uang bisa di cari, coldplay ke indonesia cuman sekali chuaks","Dendymuh1","2023-05-09 22:25:46+07","tweet"
"duit bisa dicari lagi 
ginjal 1 insya allah masih bisa idup 

tapi Coldplay ke Indonesia kapan lagi.. :’)","nasgilpedes","2023-05-09 22:21:46+07","tweet"
"Lalu lelaki satu ini @shidqihooligan alias bapaknya anak akuuu manas mansin dengan, “UANG BISA DICARI, COLDPLAY KE INDONESIA CUMA SEKALI.” 😭😭😭🥲😭🥲🥲🥲🥲😭😭😭😭","susanucan","2023-05-09 22:08:19+07","replied_to"
"Siapa yg ngira juga kan kalau akhirnya coldplay ke Indonesia? 
Emg kebutuhan dadakan ini","alfiyan_mstqm","2023-05-09 22:00:19+07","retweet"
"@pendakilawas rinjani bisa kapan saja coldplay ke indonesia belum tentu kapan saja","riscowahyudii","2023-05-12 19:04:01+07","replied_to"
"Nonton konser Coldplay adalah termasuk kebutuhan yang bisa dicover oleh dana darurat.","BigAlphaID","2023-05-09 13:14:05+07","tweet"
"uang bisa dicari tapi coldplay ke indonesia cuma sekali","hayaadilah","2023-05-09 21:57:35+07","tweet"
"Uang bisa dicari
Tapi coldplay ke indonesia hanya sekali xixixi","mtprhn","2023-05-09 21:46:48+07","tweet"
"uang bisa dicari, tapi coldplay ke indonesia hanya sekali. 
bismillah info pinjol","AziZiega","2023-05-09 21:29:40+07","tweet"
"uang bisa dicari, tapi coldplay ke indonesia hanya sekali","galaslycosmos","2023-05-09 21:17:50+07","tweet"
"Coldplay ke indonesia. Pengen tapi miskin. Saya sebagai warga setiabudi satrio sudirman mengucapkan wassalam macetnya nanti 🥲","riangellina","2023-05-09 21:12:46+07","tweet"
"“Uang bisa di cari
Coldplay ke indonesia ntah kapan lagi.”
Seandainya gua sanggup bilang gitu https://t.co/aegAOpDkl2","zeinaufal","2023-05-10 20:25:49+07","tweet"
"Tahun ini: Coldplay, ke Indonesia. Messi, ke Indonesia. Part 3 biasanya gongnya. 

Tuhan Yesus.. belum dulu, kan, ya????","zarryhendrik","2023-05-10 20:09:12+07","tweet"
"kalo coldplay ke indonesia , indonesia kemana ?","haryanto_lingga","2023-05-10 19:46:21+07","tweet"
"money bisa dicari,
tapi coldplay ke Indonesia cmn sekali
it’s time to pinjol ga sii","muaffyyy","2023-05-10 19:41:48+07","retweet"
"#MOTSWT https://t.co/k7ZYghmLHU","coldplay","2023-05-09 09:31:41+07","replied_to"
"Yaudah kalau fans Taylor Swift mau nabung dulu buat tahun depan gakpapa kok.

Sayang uangnya kan buat Coldplay ke Indonesia? https://t.co/9NoQ8MXjgg","jackjackparrr","2023-05-10 19:27:51+07","tweet"
"Coldplay ke Indonesia, Sandiaga Uno Optimis Bisa Dongkrak Wisatawan https://t.co/ylKuMGrLJe","mapaybandungcom","2023-05-10 17:52:49+07","tweet"
