content	username
['coldplay', 'memakai', 'mobile', 'bca']	viestarona
['coldplay', 'indonesia', 'road', 'koreya', 'ojo', 'sampe', 'tiket']	JadineGood
['coldplay', 'indonesia']	maungngomul
['rumor', 'indonesia']	ferzukay_
['min', 'promotornya', 'rumornya', 'konser', 'domain', 'khusus', 'informasi', 'pembelian', 'brarti', 'bawa', 'coldplay', 'indonesia', 'domain', 'dipake', 'konser', 'injakarta']	Frzadam
['salah', 'coldplay', 'indonesia']	creamfie
['malam', 'akun', 'twitter', 'coldplay', 'indonesia', 'konser', 'november', 'coldplay', 'topic', 'twitter', 'indonesia']	binokularid
['duit', 'woiui']	uu_hlg
['coldplay', 'indo']	vrijeman
['happy', 'hear', 'enjoyed', 'praise', 'listen', 'third', 'blue', 'room', 'ep', 'ph']	coldplay
['pribadinya', 'dihapus', 'kode', 'indonesia', 'beneran', 'johan', 'tallo', 'llncorp']	lalanacorp
['fix', 'otw', 'anjir', 'beneran', 'coldplay', 'indonesia', 'kesampean']	ghibran_mardani
['coldplay', 'coldplay', 'indonesia', 'tour', 'asia']	malkaleegra
['fix', 'coldplay']	awesomejinhyung
['cerita', 'enjoy', 'coldplay']	peninggidosa
['rumornya', 'november', 'kemaren', 'konfirmasinya', 'mei', 'fix', 'beneran', 'nonton', 'coldplay']	carapherneliar
['artis', 'kpop', 'rekaman', 'take', 'artis', 'selena', 'lady', 'coldplay', 'ava', 'max', 'artis', 'kpop', 'bukti', 'kpop', 'kh']	velantion
['u', 'bikin', 'konser', 'napa', 'sedih', 'ih']	durkcloudev
['skip', 'deh', 'coldplay', 'kesini']	carapherneliar
['yaowo', 'keknya', 'nonton', 'coldplay']	parkjimbby
['akwkw', 'wkt', 'weekend', 'parah', 'dalem', 'ancolnya', 'macett', 'sampe', 'jalan', 'venue', 'hueee', 'nonton', 'hrs', 'mikir2', 'coldplay', 'yha', 'ahaahahahahah']	prodvantes
['stop', 'parlay', 'aci', 'coldplay']	urbbysky
['let', 'somebody', 'coldplay', 'feat', 'selena', 'biarkan', 'ditahan', 'hil']	_memoryusang
['coldplay', 'beneran']	Gurlseche
['tiket', 'konser', 'coldplay']	nolinguistik
[]	freakygurlll_
['nonton', 'coldplay', 'pokoknya']	joawofelix
['aamiin', 'juta', 'penonton']	whinskyy
['yah', 'mantan', 'oh', 'elah', 'namanya', 'prince', 'skate', 'coldplay', 'pokoknya', 'wahaha', 'bestie', 'disuruh', 'kenalan', 'tau', 'br', 'join', 'huh']	Yukiza__
