content	username	mentioned
"@aerbe Coldplay kak

tinggal nunggu di-announce sama pak Sandiaga, gosipnya 9 Mei ini pengumuman"	oedit	['@aerbe']
@menfesspelangi_ mau jajan tiket konser coldplay 👉🏻👈🏻🥹	tok1oboi	['@menfesspelangi_']
"JADILAH ORANG PADA UMUMNYA Gus Baha https://t.co/2VqkeX1x3m via @YouTube 

Coldplay Dua Lipa ellingham #HARAM Gus Baha Istana Dollar Sukoharjo BRICS

#gusbaha
#ngajigusbaha 
#pengajiangusbaha
#kajiantafsirgusbaha
#Trending 
#FYP https://t.co/TQBp52zfd2"	ktgusbaha	['@YouTube']
@celixalexandra #Dijual #WTS #ForSale tiket coldplay kategori 1A. Harga normal. Dibantu sampe masuk. Minat DM.	hmbhay	['@celixalexandra']
Saran buat @coldplay kalo manggung di Indonesia jangan bawain lagu fix you, biar pada gabisa sing along sama buat story ig.	petrusgal_	['@coldplay']
"Coldplay Jepang sukoharjo istana  Dollar BRICS Pagi Sore #volleyball Gus Baha 
@luculucuaaan @Midjan_La_2 @tanyakanrl @sundastruggle @LucuLucuVideo https://t.co/GPOt97LEi0"	yudasarabia	['@luculucuaaan', '@Midjan_La_2', '@tanyakanrl', '@sundastruggle', '@LucuLucuVideo']
@imdfdln @celixalexandra Ah itu bukan konformasi dr off acc coldplay males	revaldrieva	['@imdfdln', '@celixalexandra']
@Frmnalfarisi @sbyfess Emang u tau playlist nya coldplay???	jodoh___orang	['@Frmnalfarisi', '@sbyfess']
@convomf NANGISSS MAU LIAT COLDPLAY	operavile	['@convomf']
noh kata admin cretivox juga ayok peka bub @dimbsp xoxoxoxo bismillah konser coldplay 2023🙏🏻🙏🏻🙏🏻 https://t.co/921s8F1Hwv	AnisaNurbaniah	['@dimbsp']
@marjanlemon @celixalexandra doakan sudah dapet gawean agar bisa beli coldplay	arkanrahman	['@marjanlemon', '@celixalexandra']
"@worksfess klo ntar  november nnton Coldplay bakalan kecapai.

Praktis, challenge hidup cuma sisa ini doang. Klo ini kecapai tinggal fokus urus akhirat aja udah"	FahrezaEbol	['@worksfess']
"@ureuseful @sbyfess Jaken ngelencer nd pantai kutang ae bocil siji iku ul, + onok live konsere iso req lagune coldplay barang. Sedengan ga larang"" yoan budgete"	fikrifingkreww	['@ureuseful', '@sbyfess']
@convomf kalau belum Coldplay yang konfirmasi masih abu² gys	keilaid01	['@convomf']
@nasyaElpnt @coldplay wajib cc kak?	depresheat	['@nasyaElpnt', '@coldplay']
Barusan ngedm Pak @sandiuno tentang kejelasan konser Coldplay ~ https://t.co/CyIH9kbqST	Kesar_mr2ent	['@sandiuno']
Apakah aku harus buka jasa war tiket coldplay? @jadiiniapasih	syafiras_	['@jadiiniapasih']
@hxfitda Maap ku tak suka Coldplay	ekoyudha	['@hxfitda']
@dancingastro @coldplay cikal bakal release nya lagu ini, 'Heaven - Avicii ft Chris Martin' https://t.co/0yjKtUIeNG	beleumsampeuuu	['@dancingastro', '@coldplay']
@Box2boxID @coldplay darimana duitnya	meaza777	['@Box2boxID', '@coldplay']
@shadownocturn Btw coldplay udh fix kesini kah? Anjaay semua aja kesini😭	moonlightsgrey	['@shadownocturn']
@Box2boxID @coldplay Tidak masih miskin 😮‍💨	andriAgassi_	['@Box2boxID', '@coldplay']
"Kirain cmn bakal nangis pas Yellow mulai, taunya dari opening udah mo nangis. Begitu lanjut langsung nangis ga berenti spanjang nntn, padahal masih di bioskop🥹🥹🥹

MANIFESTING, DITUNGGU OFFICIAL ANNOUNCEMENT NYA PLS!! @coldplay"	jvnlstln	['@coldplay']
@hdrxiao Coldplay. Jarang jarang mereka pilih indo	kafsaagf	['@hdrxiao']
@jellypastaa Sama mauu bangett, dari jaman SMP kenal Coldplay, sampe sekarang udah kerja, semoga bisa kesampean nonton konsernya, walau gatau uangnya darimana😭😭	nifahsalsabila	['@jellypastaa']
"@roy1alien @sbyfess Manifesting bgttttt, kebetulan udah nikah dan kita berdua sangat sangat suka Coldplay bahkan dr pacaran selalu mimpi bisa nnton konser Coldplay berdua🥺
Ya Allah, izinkan kamiiii🤲🥰"	dlpnagsts	['@roy1alien', '@sbyfess']
@shashunk @urstrulyAG @coldplay TL ladies adey anukuntunnaru me iddari gurunchi	DesiSilent	['@shashunk', '@urstrulyAG', '@coldplay']
"Kalo kata kak @ianhugen , MANIFESTING punya pacar sbelum konser Coldplay di GBK nanti, biar bisa nonton bareng.

Gue ucapkan : AMEEEEEENNNN.
In the name of Jesus ameeen. 

Gassssssss"	krikkrikkriu	['@ianhugen']
@Areloghy Coldplay … tp promotor sm crew dr SG semua … hahahaha siap” war	Its_Tama	['@Areloghy']
@sherlyotavia hadir jastip war tiket coldplay kak~ testi lebih dari 100+ tiket konser berhasil secured di pinned tweet atau highlight instagram! 🫶	moacartie	['@sherlyotavia']
@angewwie Ngundang coldplay nyanyi kebo giro	andreprtaama	['@angewwie']
persetan dengan coldplay saya ingin @bmthofficial  bertemu dangan abang @olobersyko	Candra_Nanta	['@bmthofficial', '@olobersyko']
@tanyakanrl Coldplay, GP coldplay mungkin lebih banyak dibanding bp🙂	enhydralutrisea	['@tanyakanrl']
@vinodii yg penting dapet simpatisan dulu dengan embel-embel backingi coldplay wkwkwk	AGTBLHKK	['@vinodii']
@angewwie Bolehh banget, cuman coldplay nya mau apa engga	anshooor	['@angewwie']
@mesolaviyeza nah iya dari kemaren tuh emang banyak announce coldplay termasuk sandiuno, ga expect kalo ngambil weekday wkwkw soalnya bayangan aku weekend trs 2 hari Mez	namgilahjussi	['@mesolaviyeza']
@ocehanbintang @tiketXid kalo kpop Up 1 jt kak, gatau kalo coldplay berapa	yeolsooy	['@ocehanbintang', '@tiketXid']
@angewwie bole aja, tp yg penting coldplay nya mo dateng apa ga.	billayM	['@angewwie']
@isaidyesssss @IDWantsColdplay @coldplay @coldplayxtra @coldplaying iya ka di GI	naya_fai	['@isaidyesssss', '@IDWantsColdplay', '@coldplay', '@coldplayxtra', '@coldplaying']
@FahrezaEbol @worksfess ihhh aku jg mau nonton coldplay nder... udh deg deg aja tremor nanti war tiketnya😭😭	anngoldqn	['@FahrezaEbol', '@worksfess']
@beasraskin_ maneh bmth urang coldplay yyy	your50percent	['@beasraskin_']
@HaloBCA buat ticket coldplay pake bca mobile bisa min?	matchaassb	['@HaloBCA']
