content	username	tweet_published_at	type
"sebelum @muse announce bakal konser di KL, berharap banget mereka bakalan ke Indo. Dan pas tau mereka fix hanya ke KL, kecewa parah saat itu.

lalu bbrp bulan kemudian mendapati fakta bahwa @coldplay ke Indonesia, dan aku akan pergi ke sana. sungguh pengganti yang setimpal. 🥹"	wurdianto	2023-05-18 15:58:34+07	tweet
"@tanyakanrl Ga ada uang, ga harus nonton sekarang :((

 2027 juga balik lagi Coldplay ke Indonesia"	keburuhujan_	2023-05-18 15:16:05+07	replied_to
"@ZulfadliZulfa17 @vonnycornellya_ Coldplay ke Indonesia buat konser 
Bukan kampanye LGBT

ISRAEL ke Indonesia buat tanding bola 
Bukan mau perang"	Chhattisggarh	2023-05-19 01:21:10+07	replied_to
"@tanyakanrl ga tentang ""kapan lagi coldplay ke indonesia"" oh c'mon kalau suatu saat lu punya rezeki lu bisa susul noh coldplay ke ujung dunia pun bakal tetep ada.logika nya kan mau nikah,trs bapak mu butuh biaya berobat jg mana nonton pake duit tabungan yg di hasilin adik sendiri,ga malu?"	alzanzea_	2023-05-19 19:16:54+07	replied_to
@KompasTV Ya Allah pak COLDPLAY ke Indonesia itu cuma buat tour konser   nyanyi nggak kampanye2 yg lain,..Qatar aja yg negara hukum Islam cerdas bgt mengatasi masalah itu pas Piala Dunia kemarin,..ini kita yang INDONESIA negara PANCASILA harus bisa toleransi pak 🤯	whatthehappier	2023-05-19 15:41:21+07	replied_to
"@noire172 terus di-counter pakai kalimat uang bisa dicari, Coldplay ke Indonesia kapan lagi

🤣🤣🤣🤣🤣🤣"	otodanarz	2023-05-19 14:46:08+07	replied_to
@AstoZou bdndjdnsjsjzna coldplay	bouskazoro	2023-05-02 03:40:46+07	replied_to
@tvOneNews Hiburan Musik tdk merusak Moral Pak, terkecuali Coldplay ke Indonesia khusus dalam rangka kampanye LGBT. Jangan2 ini MUI yg sdg Kampanye Untuk politik Indentitas ke Pemilu 2024 nih !!!	Awefroger	2023-05-20 08:16:23+07	replied_to
"@tanyakanrl Banyak temen2 gw yg dah 30an ke atas menanti2 pengn nonton saking lamanya penantian Coldplay ke Indonesia. 
Mental korupsi lu bkin bnyk org dikorbanin. Semoga tiket lu ga laku satupun."	hitirediamdad	2023-05-20 04:35:39+07	replied_to
@SudahBukanMaba Buat nnton Coldplay kan?	taurusnads	2023-05-06 09:29:55+07	replied_to
@joysolong @RD_4WR1212 @antoniusdwisap1 Eh kontol. Lu pikir Coldplay ke Indonesia mau kampanye LGBT	lokernyagacha	2023-05-20 12:01:44+07	replied_to
Prihatin sekali, klo benar @sandiuno yg menggagas kedatangan Coldplay ke Indonesia. Dia ga peka dg perasaan rakyat, khususnya muslim.	dpd_ummatCiamis	2023-05-20 09:51:24+07	retweet
Tak pelak, konfirmasi resmi kunjungan Coldplay ke Indonesia menjadi kejutan luar biasa bagi banyak orang. Alhasil, obrolan tentang Coldplay merebut lampu sorot perbincangan di jagat maya. @ArdBrahmantya #Linimasa #AdadiKompas https://t.co/8GgcSmZrvj	KompasData	2023-05-21 12:25:06+07	replied_to
@kipasgoyang @rizkyXprasetya aku doyan Shiver, lagunya Coldplay	debuatomik	2023-05-02 15:49:07+07	tweet
@tanyakanrl Kalian pernah ke konser siapa aja?	dinrayaujazla	2023-05-01 19:24:47+07	replied_to
